unit,lat,lon,year,count
Mendocino CAL FIRE,39.345892,-123.319092,1931,1
Sequoia - Kings Canyon NP,36.49042,-118.82488,1931,1
Plumas National Forest,39.937816,-120.94114,1931,12
Tahoe National Forest,39.301182,-120.678146,1931,5
Los Angeles County,34.05513,-118.25703,1931,4
Riverside CAL FIRE,33.496892,-117.1504,1931,1
Orange County,33.802647,-117.84931,1931,1
San Bernardino National Forest,34.090473,-117.260245,1931,2
Shasta-Trinity National Forest,40.520709,-122.301395,1931,25
Los Padres National Forest,34.768611,-120.061716,1931,9
Six Rivers National Forest,41.840065,-123.997312,1931,3
Cleveland National Forest,33.022118,-117.094959,1931,6
Lassen National Forest,40.20725,-120.90771,1931,14
Sierra National Forest,36.829829,-119.684965,1932,3
Sequoia National Forest,36.032162,-119.078781,1932,4
Stanislaus National Forest,38.036256,-120.283203,1932,10
Six Rivers National Forest,41.840065,-123.997312,1932,5
Cleveland National Forest,33.022118,-117.094959,1932,2
Tahoe National Forest,39.301182,-120.678146,1932,3
Angeles National Forest,34.181417,-118.074422,1932,3
San Bernardino National Forest,34.090473,-117.260245,1932,1
Eldorado National Forest,38.721085,-120.829644,1932,2
Channel Islands - NPS,33.986645,-119.911155,1932,1
Riverside CAL FIRE,33.496892,-117.1504,1932,1
Los Angeles County,34.05513,-118.25703,1932,5
Los Padres National Forest,34.768611,-120.061716,1932,4
Modoc National Forest,41.339102,-121.147262,1932,1
Shasta-Trinity National Forest,40.520709,-122.301395,1932,13
Lassen National Forest,40.20725,-120.90771,1932,4
Plumas National Forest,39.937816,-120.94114,1932,10
Klamath National Forest,41.336017,-122.841974,1932,1
Mendocino National Forest,39.172201,-122.90607,1932,8
Stanislaus National Forest,38.036256,-120.283203,1933,5
San Bernardino National Forest,34.090473,-117.260245,1933,3
Mendocino National Forest,39.172201,-122.90607,1933,3
Plumas National Forest,39.937816,-120.94114,1933,1
Eldorado National Forest,38.721085,-120.829644,1933,1
Shasta-Trinity National Forest,40.520709,-122.301395,1933,3
Sequoia - Kings Canyon NP,36.49042,-118.82488,1933,1
Sierra National Forest,36.829829,-119.684965,1933,2
Modoc National Forest,41.339102,-121.147262,1933,2
Sequoia National Forest,36.032162,-119.078781,1933,2
Los Angeles County,34.05513,-118.25703,1933,3
Los Padres National Forest,34.768611,-120.061716,1933,4
Riverside CAL FIRE,33.496892,-117.1504,1933,1
Cleveland National Forest,33.022118,-117.094959,1933,4
Tahoe National Forest,39.301182,-120.678146,1933,2
Klamath National Forest,41.336017,-122.841974,1933,4
Eldorado National Forest,38.721085,-120.829644,1934,2
Sequoia National Forest,36.032162,-119.078781,1934,7
Sierra National Forest,36.829829,-119.684965,1934,5
Mendocino National Forest,39.172201,-122.90607,1934,1
