year,month,count
1964,4,2.0
1964,5,2.0
1964,6,10.0
1964,7,22.0
1964,8,18.0
1964,9,18.0
1964,10,5.0
1964,11,0.0
1964,12,0.0
1965,1,0.0
1965,2,0.0
1965,3,0.0
1965,4,0.0
1965,5,0.0
1965,6,1.0
1965,7,2.0
1965,8,6.0
1965,9,15.0
1965,10,7.0
1965,11,1.0
1965,12,0.0
1966,1,1.0
1966,2,0.0
1966,3,0.0
1966,4,3.0
1966,5,6.0
1966,6,19.0
1966,7,9.0
1966,8,13.0
1966,9,8.0
1966,10,6.0
1966,11,3.0
1966,12,0.0
1967,1,0.0
1967,2,0.0
1967,3,0.0
1967,4,0.0
1967,5,1.0
1967,6,5.0
1967,7,14.0
1967,8,21.0
1967,9,4.0
1967,10,19.0
1967,11,1.0
1967,12,0.0
1968,1,0.0
1968,2,0.0
1968,3,0.0
1968,4,2.0
1968,5,3.0
1968,6,25.0
1968,7,29.0
1968,8,18.0
1968,9,22.0
1968,10,5.0
1968,11,0.0
1968,12,0.0
1969,1,1.0
1969,2,0.0
1969,3,0.0
1969,4,0.0
1969,5,3.0
1969,6,6.0
1969,7,11.0
1969,8,15.0
1969,9,12.0
1969,10,9.0
1969,11,4.0
1969,12,0.0
1970,1,0.0
1970,2,0.0
1970,3,1.0
1970,4,1.0
1970,5,18.0
1970,6,16.0
1970,7,22.0
1970,8,14.0
1970,9,42.0
1970,10,7.0
1970,11,6.0
1970,12,0.0
1971,1,0.0
1971,2,0.0
1971,3,0.0
1971,4,1.0
1971,5,0.0
1971,6,5.0
1971,7,9.0
1971,8,16.0
1971,9,13.0
1971,10,6.0
1971,11,2.0
1971,12,1.0
1972,1,1.0
1972,2,0.0
1972,3,1.0
1972,4,1.0
1972,5,7.0
1972,6,8.0
1972,7,19.0
1972,8,28.0
1972,9,10.0
1972,10,1.0
1972,11,0.0
1972,12,0.0
1973,1,0.0
1973,2,0.0
1973,3,0.0
1973,4,0.0
1973,5,2.0
1973,6,21.0
1973,7,17.0
1973,8,19.0
1973,9,15.0
1973,10,6.0
1973,11,1.0
1973,12,0.0
1974,1,0.0
1974,2,1.0
1974,3,0.0
1974,4,2.0
1974,5,12.0
1974,6,24.0
1974,7,25.0
1974,8,20.0
1974,9,19.0
1974,10,2.0
1974,11,2.0
1974,12,0.0
1975,1,0.0
1975,2,0.0
1975,3,0.0
1975,4,0.0
1975,5,5.0
1975,6,13.0
1975,7,22.0
1975,8,17.0
1975,9,17.0
1975,10,2.0
1975,11,8.0
1975,12,2.0
1976,1,6.0
1976,2,0.0
1976,3,0.0
1976,4,1.0
1976,5,2.0
1976,6,27.0
1976,7,10.0
1976,8,5.0
1976,9,4.0
1976,10,0.0
1976,11,5.0
1976,12,1.0
1977,1,0.0
1977,2,2.0
1977,3,3.0
1977,4,1.0
1977,5,0.0
1977,6,8.0
1977,7,16.0
1977,8,27.0
1977,9,1.0
1977,10,0.0
1977,11,3.0
1977,12,2.0
1978,1,0.0
1978,2,0.0
1978,3,1.0
1978,4,0.0
1978,5,4.0
1978,6,7.0
1978,7,19.0
1978,8,25.0
1978,9,11.0
1978,10,9.0
1978,11,0.0
1978,12,0.0
1979,1,0.0
1979,2,0.0
1979,3,1.0
1979,4,2.0
1979,5,8.0
1979,6,53.0
1979,7,52.0
1979,8,17.0
1979,9,41.0
1979,10,2.0
1979,11,2.0
1979,12,4.0
1980,1,0.0
1980,2,0.0
1980,3,2.0
1980,4,3.0
1980,5,3.0
1980,6,17.0
1980,7,51.0
1980,8,30.0
1980,9,17.0
1980,10,22.0
1980,11,21.0
1980,12,3.0
1981,1,0.0
1981,2,1.0
1981,3,0.0
1981,4,1.0
1981,5,5.0
1981,6,44.0
