unit,lat,lon,year,count,area_burned
Sequoia - Kings Canyon NP,36.49042,-118.82488,1921,1,1551.467
Mendocino National Forest,39.172201,-122.90607,1921,1,2573.064
Cleveland National Forest,33.022118,-117.094959,1921,11,17667.8874
Riverside CAL FIRE,33.496892,-117.1504,1921,1,485.9708
Angeles National Forest,34.181417,-118.074422,1921,21,20213.326800000003
Eldorado National Forest,38.721085,-120.829644,1921,1,273.4315
Los Angeles County,34.05513,-118.25703,1921,9,13289.765399999998
Stanislaus National Forest,38.036256,-120.283203,1921,5,3764.0667
San Bernardino National Forest,34.090473,-117.260245,1921,13,9225.1455
Tahoe National Forest,39.301182,-120.678146,1921,1,292.897
Los Padres National Forest,34.768611,-120.061716,1922,18,169564.5016
Shasta-Trinity National Forest,40.520709,-122.301395,1922,18,22418.6341
Cleveland National Forest,33.022118,-117.094959,1922,3,926.3058
Sequoia - Kings Canyon NP,36.49042,-118.82488,1922,3,1652.5212000000001
Modoc National Forest,41.339102,-121.147262,1922,1,257.4726
Lassen National Forest,40.20725,-120.90771,1922,5,4857.1134
Angeles National Forest,34.181417,-118.074422,1922,11,7293.4299
Eldorado National Forest,38.721085,-120.829644,1922,2,2724.4953
Riverside CAL FIRE,33.496892,-117.1504,1922,1,669.5116
Los Angeles County,34.05513,-118.25703,1922,7,25775.9531
Six Rivers National Forest,41.840065,-123.997312,1922,4,3584.9883999999997
Sierra National Forest,36.829829,-119.684965,1922,8,33756.2311
Klamath National Forest,41.336017,-122.841974,1922,1,116.702
San Bernardino National Forest,34.090473,-117.260245,1922,1,19325.96
Mendocino National Forest,39.172201,-122.90607,1922,3,42356.8411
Sequoia National Forest,36.032162,-119.078781,1922,1,5100.851
Stanislaus National Forest,38.036256,-120.283203,1922,4,1279.1541
Tahoe National Forest,39.301182,-120.678146,1923,3,1036.8500000000001
Los Padres National Forest,34.768611,-120.061716,1923,21,144671.5925
Los Angeles County,34.05513,-118.25703,1923,5,2371.5474
San Bernardino National Forest,34.090473,-117.260245,1923,12,9332.2696
Cleveland National Forest,33.022118,-117.094959,1923,7,5419.2298
Sequoia National Forest,36.032162,-119.078781,1923,2,1107.8557
Shasta-Trinity National Forest,40.520709,-122.301395,1923,6,4536.9268999999995
Stanislaus National Forest,38.036256,-120.283203,1923,2,664.5288
Sierra National Forest,36.829829,-119.684965,1923,4,24802.998199999998
Riverside CAL FIRE,33.496892,-117.1504,1923,6,6882.8132
Eldorado National Forest,38.721085,-120.829644,1923,3,3307.6915
Angeles National Forest,34.181417,-118.074422,1923,14,7293.5258
Klamath National Forest,41.336017,-122.841974,1923,1,461.0407
Plumas National Forest,39.937816,-120.94114,1923,1,323.0277
Six Rivers National Forest,41.840065,-123.997312,1923,1,398.3194
Marin County,37.87136,-122.513604,1923,1,31768.96
Mendocino National Forest,39.172201,-122.90607,1923,3,26507.476
Riverside CAL FIRE,33.496892,-117.1504,1924,1,18432.46
Los Angeles County,34.05513,-118.25703,1924,3,46041.008
Tahoe National Forest,39.301182,-120.678146,1924,24,78914.9095
Modoc National Forest,41.339102,-121.147262,1924,6,8052.2004
Eldorado National Forest,38.721085,-120.829644,1924,9,25764.6967
Sierra National Forest,36.829829,-119.684965,1924,12,78688.79509999999
Plumas National Forest,39.937816,-120.94114,1924,1,596.4567
Los Padres National Forest,34.768611,-120.061716,1924,16,80835.1058
Sequoia - Kings Canyon NP,36.49042,-118.82488,1924,1,108.3232
Angeles National Forest,34.181417,-118.074422,1924,10,28742.4263
Lassen National Forest,40.20725,-120.90771,1924,14,23766.8568
Sequoia National Forest,36.032162,-119.078781,1924,10,26642.8076
Mendocino National Forest,39.172201,-122.90607,1924,2,8448.83
Klamath National Forest,41.336017,-122.841974,1924,13,19970.5805
San Bernardino National Forest,34.090473,-117.260245,1924,10,43785.8773
Cleveland National Forest,33.022118,-117.094959,1924,5,11821.5031
Stanislaus National Forest,38.036256,-120.283203,1924,4,44207.215899999996
Six Rivers National Forest,41.840065,-123.997312,1924,10,4318.6939999999995
Shasta-Trinity National Forest,40.520709,-122.301395,1924,41,59669.8886
Tulare County,36.210334,-119.335214,1925,1,466.6741
Lassen National Forest,40.20725,-120.90771,1925,2,435.24969999999996
Angeles National Forest,34.181417,-118.074422,1925,3,1867.1816
Klamath National Forest,41.336017,-122.841974,1925,3,596.6658
San Bernardino National Forest,34.090473,-117.260245,1925,7,3090.3577999999998
Los Angeles County,34.05513,-118.25703,1925,3,6458.4255
Sierra National Forest,36.829829,-119.684965,1925,5,8484.1278
Eldorado National Forest,38.721085,-120.829644,1925,2,2776.7122999999997
Toiyabe National Forest,38.62689,-119.3935,1925,1,358.0459
Modoc National Forest,41.339102,-121.147262,1925,1,206.1818
Los Padres National Forest,34.768611,-120.061716,1925,7,24641.538
Cleveland National Forest,33.022118,-117.094959,1925,12,22595.6451
Stanislaus National Forest,38.036256,-120.283203,1925,10,1871.214
Sequoia National Forest,36.032162,-119.078781,1925,2,961.0277
Six Rivers National Forest,41.840065,-123.997312,1925,2,2532.3514
Los Angeles County,34.05513,-118.25703,1926,4,874.9051
Cleveland National Forest,33.022118,-117.094959,1926,7,25715.875500000002
Santa Barbara County,34.389656,-119.702652,1926,1,4607.026
Modoc National Forest,41.339102,-121.147262,1926,3,13456.0822
Klamath National Forest,41.336017,-122.841974,1926,8,27397.1394
